#TIMESTAMP 2016-08-23 20:00:00.0Z
#TAG calibration
#CONTACT wester@fnal.gov
FSC0026m4258,6.493733,-42.986156,17.74,FStar
FSC0029m4226,7.286976,-42.452005,17.16,FStar
FSC0029m4332,7.357000,-43.554541,17.85,FStar
FSC0030m4232,7.394506,-42.551223,17.05,FStar
FSC0031m4335,7.862189,-43.594463,17.05,FStar
FSC0033m4327,8.166994,-43.465366,17.33,FStar
FSC0034m4219,8.530439,-42.330685,17.10,FStar
FSC0034m4314,8.583240,-43.252917,17.41,FStar
FSC0035m4326,8.670351,-43.455258,17.23,FStar
FSC0036m4303,9.062984,-43.067186,17.39,FStar
FSC0034m4427,8.536766,-44.463246,17.13,FStar
FSC0035m4414,8.675694,-44.243689,17.21,FStar
FSC0035m4410,8.829979,-44.176164,17.14,FStar
FSC0036m4331,9.016877,-43.527264,17.27,FStar
FSC0036m4440,9.077639,-44.677113,17.26,FStar
FSC0038m4433,9.613838,-44.572957,17.33,FStar
FSC0041m4410,10.249814,-44.179346,17.53,FStar
FSC0041m4401,10.293784,-44.032201,17.30,FStar
FSC0042m4320,10.554514,-43.349554,17.21,FStar
FSC0043m4409,10.726473,-44.174641,17.64,FStar
FSC0043m4355,10.744632,-43.938116,17.06,FStar
FSC0044m4354,10.879048,-43.910399,17.04,FStar
FSC0248p0006,42.107554,0.094320,17.42,FStar
FSC0249p0023,42.365044,0.385183,16.58,FStar
FSC0250m0057,42.461334,-0.965594,17.30,FStar
FSC0250p0012,42.557655,0.202081,18.04,FStar
FSC0250p0035,42.599293,0.587514,17.33,FStar
FSC0251m0004,42.672281,-0.083662,17.27,FStar
FSC0252m0015,42.878932,-0.262936,17.04,FStar
FSC0252m0040,43.011865,-0.685516,18.11,FStar
FSC0253m0049,43.365199,-0.828826,99.00,FStar
FSC0254p0018,43.469203,0.299358,17.62,FStar
FSC0242m0025,40.386015,-0.435273,99.00,FStar
FSC0242m0106,40.449649,-1.112556,17.55,FStar
FSC0242m0014,40.604408,-0.256297,17.45,FStar
FSC0243m0112,40.670783,-1.213215,17.05,FStar
FSC0243m0102,40.682308,-1.051239,17.67,FStar
FSC0243m0111,40.689520,-1.194777,17.53,FStar
FSC0243m0020,40.718923,-0.352576,17.62,FStar
FSC0243m0058,40.746246,-0.975600,17.04,FStar
FSC0243m0140,40.795757,-1.684781,17.02,FStar
FSC0244m0005,40.936020,-0.099850,17.43,FStar
FSC0244m0140,40.981220,-1.683920,17.57,FStar
FSC0244m0136,41.006917,-1.624157,17.08,FStar
FSC0245m0032,41.262506,-0.545189,17.30,FStar
FSC0245m0100,41.364299,-1.006220,17.48,FStar
FSC0246m0156,41.598031,-1.942067,17.13,FStar
FSC0246m0125,41.611817,-1.435767,17.08,FStar
FSC0247m0112,41.761221,-1.208866,17.40,FStar
FSC0247m0113,41.809789,-1.226536,17.37,FStar
FSC0248m0101,42.092249,-1.033479,17.43,FStar
FSC0333m2719,53.252352,-27.325336,17.40,FStar
FSC0335m2739,53.681216,-27.674488,99.00,FStar
FSC0336m2800,53.900519,-28.004373,17.29,FStar
FSC0336m2614,54.034133,-26.245070,17.08,FStar
FSC0336m2719,54.051693,-27.328416,17.31,FStar
FSC0337m2700,54.232041,-27.010965,17.11,FStar
FSC0338m2734,54.392445,-27.582132,17.59,FStar
FSC0338m2711,54.487678,-27.193651,17.17,FStar
FSC0338m2720,54.565811,-27.353491,17.46,FStar
FSC0341m2649,55.276199,-26.826047,17.29,FStar
FSC0335m2840,53.846127,-28.691020,17.77,FStar
FSC0336m2809,53.894600,-28.171075,17.42,FStar
FSC0336m2839,53.996442,-28.659886,17.21,FStar
FSC0338m2906,54.538786,-29.124133,17.73,FStar
FSC0338m2908,54.588093,-29.157660,17.68,FStar
FSC0339m2839,54.719777,-28.661160,17.68,FStar
FSC0340m2903,55.053962,-29.065573,17.54,FStar
FSC0340m2855,55.058395,-28.941363,17.55,FStar
FSC0340m2911,55.061429,-29.203675,17.25,FStar
FSC0341m2930,55.296133,-29.514994,17.35,FStar
FSC0329m2828,52.268409,-28.481443,17.43,FStar
FSC0330m2720,52.504268,-27.343196,17.53,FStar
FSC0330m2753,52.535691,-27.899908,17.31,FStar
FSC0331m2820,52.663364,-28.353406,17.35,FStar
FSC0331m2710,52.682259,-27.187713,17.96,FStar
FSC0331m2848,52.711345,-28.818317,17.86,FStar
FSC0332m2756,52.954520,-27.948349,17.16,FStar
FSC0332m2852,52.971745,-28.889299,17.12,FStar
FSC0333m2822,53.159444,-28.378080,17.26,FStar
FSC0333m2841,53.252546,-28.692842,17.00,FStar
FSC0214m0449,33.463299,-4.829327,17.53,FStar
FSC0216m0438,34.031045,-4.655732,17.05,FStar
FSC0216m0525,34.064300,-5.436222,17.44,FStar
FSC0216m0406,34.100229,-4.111840,17.84,FStar
FSC0217m0444,34.316511,-4.748356,17.19,FStar
FSC0217m0401,34.374441,-4.026514,17.10,FStar
FSC0218m0555,34.434797,-5.929112,17.55,FStar
FSC0218m0524,34.477678,-5.411416,17.37,FStar
FSC0218m0454,34.587053,-4.909442,17.15,FStar
FSC0219m0415,34.653192,-4.263744,17.25,FStar
FSC0219m0548,34.729531,-5.809794,17.35,FStar
FSC0219m0505,34.759451,-5.108142,17.08,FStar
FSC0221m0449,35.281254,-4.837839,17.12,FStar
FSC0221m0441,35.367843,-4.707708,17.17,FStar
FSC0221m0524,35.370905,-5.411407,17.63,FStar
FSC0220m0633,34.886763,-6.568221,17.86,FStar
FSC0220m0631,34.930426,-6.535680,17.26,FStar
FSC0220m0651,35.036836,-6.862704,17.52,FStar
FSC0221m0551,35.128609,-5.860430,17.24,FStar
FSC0221m0534,35.306850,-5.584864,17.20,FStar
FSC0221m0606,35.337253,-6.120600,17.85,FStar
FSC0222m0550,35.417893,-5.850477,17.85,FStar
FSC0222m0537,35.440327,-5.626981,17.89,FStar
FSC0223m0655,35.683244,-6.932148,17.84,FStar
FSC0223m0640,35.803615,-6.683332,17.00,FStar
FSC0223m0656,35.863019,-6.943825,17.49,FStar
FSC0224m0706,35.920325,-7.117498,17.78,FStar
FSC0224m0647,36.052784,-6.806583,17.43,FStar
FSC0224m0541,36.074541,-5.708018,17.34,FStar
FSC0224m0615,36.085793,-6.263154,17.68,FStar
FSC0225m0602,36.292078,-6.054430,17.73,FStar
FSC0223m0454,35.694504,-4.915852,17.18,FStar
FSC0223m0425,35.755551,-4.438875,16.94,FStar
FSC0224m0411,35.946016,-4.207001,17.32,FStar
FSC0224m0517,36.005825,-5.297225,17.15,FStar
FSC0224m0500,36.114287,-5.000684,17.45,FStar
FSC0225m0444,36.362043,-4.755580,17.46,FStar
FSC0226m0400,36.554704,-4.001240,17.16,FStar
FSC0227m0519,36.797733,-5.326738,17.07,FStar
FSC0228m0424,36.962221,-4.408887,17.38,FStar
FSC0229m0413,37.212380,-4.235814,17.15,FStar
